symbol,funding_time,year,rate,z,side,r1,r4,r12
LTCUSDT,1726358400000,2024,8.839e-05,2.0423525472605224,SHORT,-0.003935821005623037,0.010520795372395302,0.01836880056778954
LTCUSDT,1726588800000,2024,-7.11e-05,-2.526101912351216,LONG,0.0007873396202336558,-0.0017343323227827206,0.0065944657252807485
LTCUSDT,1726761600001,2024,8.15e-05,2.0474634241022476,SHORT,-0.003036285921519897,0.0025881113632163035,-0.004248223655074643
LTCUSDT,1727827200000,2024,1.828e-05,-2.224465542599403,SHORT,-0.007201032995750386,-0.0045458186282798345,0.006462312662144201
LTCUSDT,1728086400000,2024,5.98e-06,-2.400741273437577,SHORT,-0.0007649354002604723,0.001378359970121382,-0.006407344575000474
LTCUSDT,1728835200000,2024,2.467e-05,-2.1014736130737512,SHORT,0.005246116028114366,0.004163781171779724,-0.006748491869283543
LTCUSDT,1729929600001,2024,5.446e-05,-71.88730779179103,SHORT,0.0034797773260398118,0.005078731079015798,0.007554881204430631
LTCUSDT,1731225600000,2024,0.00016619,1.6279866536517812e+15,SHORT,-0.00378023001166595,-0.01426372730652402,0.023654885576064297
LTCUSDT,1731369600002,2024,0.00037967,6.003249862096456,SHORT,0.00947515142628406,0.01099954196538043,0.04803601632071792
LTCUSDT,1732348800000,2024,0.00057097,13.396115567998615,SHORT,0.007302500685500228,0.0057401529406927755,0.04585501145410982
LTCUSDT,1733097600001,2024,0.00058787,3.7886995323883905,SHORT,0.015402360701693209,0.07807268368677792,0.07355309112566352
LTCUSDT,1733385600000,2024,0.00062247,3.150446514370743,SHORT,0.004292510040342235,-0.0891443817364403,-0.04852059980566545
LTCUSDT,1734739200000,2024,8.266e-05,-4.26488722984164e+14,SHORT,-0.0020846783744774135,-0.029762353389778905,-0.004165019904388101
LTCUSDT,1734825600000,2024,4.747e-05,-16.69073392556088,SHORT,0.005449604767564703,0.028973005474532253,-0.01801850550267843
LTCUSDT,1735372800000,2024,2.068e-05,-7.7642781698648164,SHORT,0.0005013285310796141,0.009770916315398403,-0.00778835689264815
LTCUSDT,1736294400001,2025,3.145e-05,-3.7309668780257454,SHORT,0.004885769167084001,0.021151013023979787,0.028891975690132153
LTCUSDT,1736380800000,2025,3.611e-05,-3.985962188879138,SHORT,0.0041281757073328585,-0.0019598242431668866,-0.013735543013827404
LTCUSDT,1736611200000,2025,-1.825e-05,-6.8291438722294036,LONG,-0.0006806359346820593,0.007745972114655329,0.014474825725957959
LTCUSDT,1736726400000,2025,-1.513e-05,-2.096356286278807,LONG,-0.011765413562327402,-0.022187295327762,-0.09006537882646172
LTCUSDT,1737763200000,2025,6.817e-05,-4.106974785089961,SHORT,-0.03878738543037849,-0.03524955107378235,-0.040391363639369786
LTCUSDT,1737964800000,2025,-1.583e-05,-9.314037611198264,LONG,0.0036754612726309093,0.012078104555110783,0.044911934683321296
LTCUSDT,1738569600000,2025,-0.00010707,-5.16099475544228,LONG,-0.0003101256033539455,-0.00903292234370767,0.07322164371103197
LTCUSDT,1738656000001,2025,-2.864e-05,-2.0080918413883833,LONG,0.0006026516855759709,0.033395713590028124,0.016046589393864802
LTCUSDT,1740096000001,2025,-7.509e-05,-4.994842829879613,LONG,-0.007231551997639022,0.0025224436551457576,0.0009652152065395312
LTCUSDT,1740297600000,2025,-4.434e-05,-2.606864779864458,LONG,0.006721400841727082,-0.004007391525676725,0.005786238678811829
LTCUSDT,1740441600000,2025,-5.916e-05,-2.509140885047555,LONG,-0.007084262889219291,-0.02660775453319619,-0.02528249039082693
LTCUSDT,1740528000000,2025,-6.149e-05,-2.0568753965101827,LONG,0.012082375676902532,0.03969149129096959,0.07600510331270237
LTCUSDT,1740931200000,2025,-9.643e-05,-2.1713195173042883,LONG,0.0009477176510954238,0.0022099456508028917,-0.027963204835098572
LTCUSDT,1741017600000,2025,-0.00015283,-3.0170102987591267,LONG,0.004628222905902473,-0.04998124521616699,-0.0912135496411925
LTCUSDT,1742284800000,2025,-3.488e-05,-2.176392183803253,LONG,-0.005797764038452322,-0.018740379008006507,-0.023054155705410712
LTCUSDT,1742630400004,2025,-0.00011728,-3.3417042879497005,LONG,0.002407003350297367,-0.00010954702316926887,-0.0005478551608022385
LTCUSDT,1743033600001,2025,-7.575e-05,-2.1659950832469432,LONG,-0.0031044289772062302,0.0027751111843335665,0.0023486719454619944
LTCUSDT,1743177600000,2025,-8.558e-05,-2.0747379310473386,LONG,0.00531301781102908,-0.0017386269230401338,0.013687027170061808
LTCUSDT,1743955200002,2025,-0.00013622,-3.16026077264271,LONG,-0.023475560907621228,-0.09528454239421467,-0.13850648159713
LTCUSDT,1744905600001,2025,-2.126e-05,-2.0169014479272245,LONG,0.005261785357525379,-0.0031704121668458284,-0.006218185015684267
LTCUSDT,1745078400000,2025,-3.641e-05,-2.1833394194616913,LONG,0.01258378086138892,0.012188810149915,0.020711775267761034
LTCUSDT,1745308800000,2025,-4.315e-05,-2.1738254673927,LONG,-0.00502576758316762,0,0.03835749880793774
LTCUSDT,1745856000005,2025,-1.083e-05,-2.0071046453613643,LONG,0.009200347983114358,0.009200347983114358,0.012833519281071645
LTCUSDT,1745971200001,2025,-2.609e-05,-2.3080379379544746,LONG,0.0004633383611212983,-0.0008113590708792473,-0.028558260197847116
LTCUSDT,1746201600003,2025,-5.326e-05,-2.693989449895052,LONG,-0.004641955688815336,-0.008279976981886806,-0.012045600191194227
LTCUSDT,1746316800001,2025,-4.726e-05,-2.0147889906614322,LONG,0.0016252615604505844,-0.001046207593247506,-0.00023239600383464736
LTCUSDT,1746489600002,2025,-0.00016366,-3.964461248359385,LONG,-0.00653992884435935,0.0012064182908518128,-0.011167875236185796
LTCUSDT,1747497600004,2025,1.214e-05,-2.6095156834281372,SHORT,-0.00030913493986203377,-0.00308705740119415,-0.001133027880390744
LTCUSDT,1747641600006,2025,-6.281e-05,-3.9015834797194584,LONG,0.0005244113602796854,-0.006736867584758053,0.0383851209140187
LTCUSDT,1747756800000,2025,-0.00017607,-5.40574193458991,LONG,0.008302336140137399,0.006604903099430266,0.014747495542316618
LTCUSDT,1749168000002,2025,-3.664e-05,-2.0603872546499216,LONG,-0.0024968801985871545,0.0016611299500765373,0.009808054991791826
LTCUSDT,1749744000001,2025,-1.048e-05,-2.2317217582624376,LONG,0.007621646399179509,-0.028068014827587428,-0.06904912869492101
