strategy,symbol,entry_time,month,side,norm_return
ID121,DOGEUSDT,1740427260000,2025-02,SHORT,0.047545135482
ID121,DOGEUSDT,1743354060000,2025-03,SHORT,-0.027698987803
ID121,DOGEUSDT,1743415260000,2025-03,SHORT,-0.033824280601
ID121,DOGEUSDT,1743685260000,2025-04,SHORT,-0.027157753822
ID121,DOGEUSDT,1746749040000,2025-05,LONG,-0.026016711135
ID121,DOGEUSDT,1746871260000,2025-05,LONG,-0.025971408281
ID121,DOGEUSDT,1746896460000,2025-05,LONG,0.062103086461
ID121,DOGEUSDT,1747958460000,2025-05,LONG,-0.019828964105
ID121,DOGEUSDT,1749978060000,2025-06,SHORT,-0.018562000502
ID121,DOGEUSDT,1750172460000,2025-06,SHORT,0.033762218307
ID121,DOGEUSDT,1750514460000,2025-06,SHORT,0.040125883939
ID121,DOGEUSDT,1752166860000,2025-07,LONG,0.052493394032
ID121,DOGEUSDT,1752202860000,2025-07,LONG,-0.016785974071
ID121,DOGEUSDT,1752813000000,2025-07,LONG,0.042556031930
ID121,DOGEUSDT,1754719260000,2025-08,LONG,-0.017458810354
ID121,DOGEUSDT,1757422860000,2025-09,LONG,-0.029072178007
ID121,DOGEUSDT,1757563260000,2025-09,LONG,-0.036770535381
ID121,DOGEUSDT,1757739660000,2025-09,LONG,0.040670338783
ID121,DOGEUSDT,1761930060000,2025-10,SHORT,-0.017813598246
ID121,DOGEUSDT,1762275660000,2025-11,SHORT,-0.027789917937
ID121,DOGEUSDT,1763406060000,2025-11,SHORT,-0.017498109435
ID121,DOGEUSDT,1768996860000,2026-01,SHORT,-0.020731300558
ID121,DOGEUSDT,1770289260000,2026-02,SHORT,0.044713641377
ID121,DOGEUSDT,1776366060000,2026-04,LONG,-0.024650293859
ID121,DOGEUSDT,1780520460000,2026-06,SHORT,0.038050451764
ID121,DOGEUSDT,1780686060000,2026-06,SHORT,-0.027173829468
ID121,DOGEUSDT,1780722060000,2026-06,SHORT,-0.028067114828
ID121,DOGEUSDT,1783494060000,2026-07,SHORT,-0.016824337053
ID121,DOGEUSDT,1786838460000,2026-08,SHORT,-0.016458437559
ID121,DOGEUSDT,1787216460000,2026-08,LONG,0.075945091446
ID121,DOGEUSDT,1787346060000,2026-08,LONG,0.056965340143
ID121,DOGEUSDT,1787371260000,2026-08,LONG,-0.054727189369
V54,DOGEUSDT,1724518860000,2024-08,LONG,-0.026957162172
V54,DOGEUSDT,1727413260000,2024-09,LONG,0.042292608116
V54,DOGEUSDT,1729267260000,2024-10,LONG,0.051296116200
V54,DOGEUSDT,1730164680000,2024-10,LONG,-0.026027735537
V54,DOGEUSDT,1730217660000,2024-10,LONG,-0.027127605347
V54,DOGEUSDT,1731340860000,2024-11,LONG,0.061380582725
V54,DOGEUSDT,1732330860000,2024-11,LONG,0.067587726500
V54,DOGEUSDT,1735963260000,2025-01,LONG,-0.026098726288
V54,DOGEUSDT,1737162060000,2025-01,LONG,-0.026578557879
V54,DOGEUSDT,1740427260000,2025-02,SHORT,0.047545135482
V54,DOGEUSDT,1743354060000,2025-03,SHORT,-0.027698987803
V54,DOGEUSDT,1743415260000,2025-03,SHORT,-0.033824280601
V54,DOGEUSDT,1743685260000,2025-04,SHORT,-0.027157753822
V54,DOGEUSDT,1746749040000,2025-05,LONG,-0.026016711135
V54,DOGEUSDT,1746871260000,2025-05,LONG,-0.025971408281
V54,DOGEUSDT,1746896460000,2025-05,LONG,0.062103086461
V54,DOGEUSDT,1747846860000,2025-05,LONG,-0.031164691578
V54,DOGEUSDT,1747958460000,2025-05,LONG,-0.019828964105
V54,DOGEUSDT,1749978060000,2025-06,SHORT,-0.018562000502
V54,DOGEUSDT,1750172460000,2025-06,SHORT,0.033762218307
