database,template_id,dimension,key,closed,open,wins,losses,net_pnl,net_pf,mean_margin_return_pct,median_holding_h,p90_holding_h
go_binance,59,symbol,ACEUSDT,2,0,0,2,-4.12357355,0.00000000,-10.30893387,0.17847222,0.28391667
go_binance,59,symbol,ENAUSDT,3,0,1,2,11.61496709,3.92459779,19.35827849,0.61222222,2.40844444
go_binance,59,symbol,BANANAS31USDT,3,0,1,2,-0.95074608,0.71696968,-1.58457680,3.32333333,17.45933333
go_binance,59,symbol,HUSDT,4,0,1,3,-0.95733617,0.83964836,-1.19667022,1.74680556,6.99300000
go_binance,59,symbol,LISTAUSDT,4,0,2,2,2.90333603,1.68491613,3.62917004,1.04680556,10.79955556
go_binance,59,symbol,AIXBTUSDT,3,0,0,3,-6.09025492,0.00000000,-10.15042486,1.05111111,1.68800000
go_binance,59,symbol,AVAAIUSDT,1,0,0,1,-2.04051608,0.00000000,-10.20258041,12.53833333,12.53833333
go_binance,59,symbol,ONEUSDT,1,0,0,1,-2.15033650,0.00000000,-10.75168249,7.61611111,7.61611111
go_binance,59,symbol,DEXEUSDT,1,0,1,0,1.88702580,—,9.43512900,2.81416667,2.81416667
go_binance,59,symbol,PUMPUSDT,1,0,0,1,-1.99954439,0.00000000,-9.99772193,0.36916667,0.36916667
go_binance,59,symbol,HUMAUSDT,3,0,1,2,-1.82470626,0.54421308,-3.04117709,0.44777778,3.27800000
go_binance,59,symbol,NEIROUSDT,2,0,1,1,0.18162335,1.09160134,0.45405836,0.99819444,1.21030556
go_binance,59,symbol,1000CATUSDT,3,0,0,3,-5.83466097,0.00000000,-9.72443496,4.88055556,5.28033333
go_binance,59,symbol,CHILLGUYUSDT,1,0,0,1,-1.98353363,0.00000000,-9.91766813,1.25333333,1.25333333
go_binance,59,symbol,TSTUSDT,2,0,0,2,-4.04107116,0.00000000,-10.10267790,0.86263889,0.91697222
go_binance,59,symbol,LABUSDT,4,0,1,3,-4.30968950,0.30333071,-5.38711188,6.39777778,11.48544444
go_binance,59,symbol,POLUSDT,1,0,0,1,-1.99180380,0.00000000,-9.95901900,1.77972222,1.77972222
go_binance,59,symbol,PROMUSDT,3,0,0,3,-7.74877500,0.00000000,-12.91462500,0.15472222,0.27205556
go_binance,59,symbol,TUTUSDT,3,0,1,2,-1.19690088,0.70701233,-1.99483480,0.34916667,0.69583333
go_binance,59,symbol,SUIUSDT,3,0,1,2,-2.88184372,0.38924220,-4.80307287,0.83583333,14.66650000
go_binance,59,symbol,WLDUSDT,2,0,1,1,-0.07199205,0.96475257,-0.17998013,1.16000000,1.81111111
go_binance,59,symbol,MEMEUSDT,1,0,0,1,-2.01517907,0.00000000,-10.07589537,0.40166667,0.40166667
go_binance,59,symbol,JUPUSDT,3,0,1,2,-3.02464940,0.23543048,-5.04108233,0.15333333,0.34088889
go_binance,59,symbol,BBUSDT,4,0,1,3,-4.38800514,0.28778428,-5.48500642,0.74055556,1.63066667
go_binance,59,symbol,AVAXUSDT,5,0,1,4,-2.07835550,0.71636101,-2.07835550,12.82750000,15.02855556
go_binance,59,symbol,MOVRUSDT,1,0,0,1,-1.98573471,0.00000000,-9.92867356,3.80805556,3.80805556
go_binance,59,symbol,GPSUSDT,1,0,1,0,9.71971369,—,48.59856844,12.03694444,12.03694444
